time,P,G(i),H_sun,T2m,WS10m,Int
20200705:0810,1045.9,265.64,40.67,19.43,7.86,0.0
20200705:0910,1021.2,260.77,49.42,20.07,7.86,0.0
20200705:1010,442.2,124.23,56.72,20.46,7.66,0.0
20200705:1110,531.65,145.56,61.18,20.31,7.1,0.0
20200705:1210,1013.15,259.89,61.29,20.24,6.07,0.0
20200705:1310,480.5,133.5,57.0,20.27,5.59,0.0
20200705:1410,1521.7,380.1,49.79,20.21,6.21,0.0
20200705:1510,2018.95,498.06,41.08,20.89,7.52,0.0
20200705:1610,1580.9,401.0,31.76,21.17,6.9,0.0
20200705:1710,689.55,191.8,22.34,20.75,6.28,0.0
20200705:1810,230.85,72.58,13.22,20.1,6.21,0.0
20200705:1910,45.7,22.74,4.7,19.3,6.48,0.0
20200705:2010,0.0,0.0,0.0,17.82,6.21,0.0
20200705:2110,0.0,0.0,0.0,16.44,6.07,0.0
20200705:2210,0.0,0.0,0.0,15.09,5.72,0.0
20200705:2310,0.0,0.0,0.0,14.15,5.45,0.0
20200706:0010,0.0,0.0,0.0,13.36,5.17,0.0
20200706:0110,0.0,0.0,0.0,12.92,5.03,0.0
20200706:0210,0.0,0.0,0.0,12.59,4.9,0.0
20200706:0310,0.0,0.0,0.0,12.5,4.9,0.0
20200706:0410,33.35,18.36,4.23,12.32,4.76,0.0
20200706:0510,207.2,64.71,12.71,12.61,4.55,0.0
20200706:0610,739.0,214.68,21.82,13.39,5.31,0.0
20200706:0710,1195.4,296.17,31.23,13.95,6.21,0.0
20200706:0810,1596.45,387.81,40.57,14.74,6.21,0.0
20200706:0910,2614.9,630.72,49.32,15.59,6.14,0.0
20200706:1010,288.05,85.29,56.62,15.93,6.28,0.0
20200706:1110,2656.15,644.92,61.08,16.09,6.07,0.0
20200706:1210,1115.0,279.68,61.2,16.74,6.07,0.0
20200706:1310,2565.4,625.34,56.93,17.01,5.86,0.0
20200706:1410,2130.25,519.5,49.74,17.27,5.93,0.0
20200706:1510,2403.2,584.91,41.04,17.45,5.86,0.0
20200706:1610,1705.15,425.65,31.72,17.11,5.45,0.0
20200706:1710,735.1,201.08,22.3,16.64,4.9,0.0
20200706:1810,158.7,53.34,13.17,15.92,4.07,0.0
20200706:1910,30.0,17.49,4.65,15.63,3.45,0.0
20200706:2010,0.0,0.0,0.0,14.87,2.55,0.0
20200706:2110,0.0,0.0,0.0,14.21,2.07,0.0
20200706:2210,0.0,0.0,0.0,13.43,1.86,0.0
20200706:2310,0.0,0.0,0.0,12.59,1.86,0.0
20200707:0010,0.0,0.0,0.0,11.9,1.79,0.0
20200707:0110,0.0,0.0,0.0,10.95,1.72,0.0
20200707:0210,0.0,0.0,0.0,10.06,1.66,0.0
20200707:0310,0.0,0.0,0.0,9.37,1.72,0.0
20200707:0410,34.0,18.36,4.13,8.98,1.79,0.0
20200707:0510,95.2,35.85,12.61,10.07,1.59,0.0
20200707:0610,188.65,60.26,21.72,12.78,1.86,0.0
20200707:0710,1132.15,285.39,31.13,14.94,2.48,0.0
20200707:0810,2173.75,535.78,40.47,16.58,2.9,0.0
20200707:0910,2220.4,548.23,49.21,17.59,3.52,0.0
20200707:1010,720.75,189.13,56.51,17.81,4.0,0.0
20200707:1110,2257.45,558.73,60.97,18.66,4.55,0.0
20200707:1210,2654.4,657.88,61.1,18.79,4.62,0.0
20200707:1310,1742.55,433.78,56.86,19.23,4.62,0.0
20200707:1410,1902.9,471.96,49.67,19.16,4.48,0.0
20200707:1510,2174.75,538.14,40.98,18.78,3.93,0.0
20200707:1610,1042.35,267.25,31.67,18.58,3.24,0.0
20200707:1710,490.55,136.26,22.25,18.28,2.41,0.0
20200707:1810,267.65,81.32,13.11,17.86,1.24,0.0
20200707:1910,0.0,3.5,4.59,17.57,0.97,0.0
20200707:2010,0.0,0.0,0.0,16.85,0.55,0.0
20200707:2110,0.0,0.0,0.0,16.23,0.41,0.0
20200707:2210,0.0,0.0,0.0,15.94,0.28,0.0
20200707:2310,0.0,0.0,0.0,15.4,0.83,0.0
20200708:0010,0.0,0.0,0.0,15.32,1.79,0.0
20200708:0110,0.0,0.0,0.0,15.17,2.76,0.0
20200708:0210,0.0,0.0,0.0,14.88,3.1,0.0
20200708:0310,0.0,0.0,0.0,14.28,2.9,0.0
20200708:0410,20.0,13.99,4.02,13.44,2.69,0.0
20200708:0510,15.2,12.24,12.5,12.73,2.55,0.0
20200708:0610,145.0,49.14,21.62,12.26,2.55,0.0
20200708:0710,374.1,104.76,31.03,12.52,2.62,0.0
20200708:0810,373.5,104.76,40.36,12.91,2.76,0.0
20200708:0910,502.95,135.36,49.1,13.32,2.55,0.0
20200708:1010,581.7,153.9,56.4,13.64,2.62,0.0
20200708:1110,688.0,178.93,60.86,13.96,2.48,0.0
20200708:1210,620.2,163.17,61.0,14.27,3.03,0.0
20200708:1310,532.0,142.77,56.77,14.68,3.31,0.0
20200708:1410,502.9,136.28,49.61,15.25,3.31,0.0
20200708:1510,647.6,170.59,40.93,15.77,3.24,0.0
20200708:1610,509.15,138.14,31.61,15.72,2.83,0.0
20200708:1710,329.65,95.49,22.19,15.7,2.62,0.0
20200708:1810,89.3,34.98,13.05,15.59,2.62,0.0
20200708:1910,0.0,5.25,4.52,15.61,2.62,0.0
20200708:2010,0.0,0.0,0.0,15.63,2.69,0.0
20200708:2110,0.0,0.0,0.0,15.65,2.55,0.0
20200708:2210,0.0,0.0,0.0,15.69,2.76,0.0
20200708:2310,0.0,0.0,0.0,15.6,2.83,0.0
20200709:0010,0.0,0.0,0.0,15.44,2.55,0.0
20200709:0110,0.0,0.0,0.0,15.42,2.97,0.0
20200709:0210,0.0,0.0,0.0,15.48,3.31,0.0
20200709:0310,0.0,0.0,0.0,15.51,3.66,0.0
20200709:0410,2.45,7.0,3.9,15.48,3.93,0.0
20200709:0510,49.6,23.61,12.39,15.5,4.0,0.0
20200709:0610,359.15,102.54,21.51,15.73,4.21,0.0
20200709:0710,376.2,106.62,30.92,16.35,5.79,0.0
20200709:0810,822.2,211.81,40.25,17.26,5.86,0.0
20200709:0910,2274.7,555.0,48.99,18.07,6.28,0.0
20200709:1010,667.25,177.08,56.28,19.18,6.0,0.0
20200709:1110,2201.55,546.71,60.74,20.5,5.66,0.0
20200709:1210,2935.2,732.5,60.89,21.63,6.07,0.0
20200709:1310,1326.6,337.83,56.68,22.67,6.28,0.0
20200709:1410,457.9,129.79,49.53,23.49,6.07,0.0
20200709:1510,472.0,133.5,40.86,23.96,6.0,0.0
20200709:1610,741.45,199.17,31.55,23.96,4.9,0.0
20200709:1710,721.65,218.17,22.13,23.64,3.52,0.0
20200709:1810,156.25,54.22,12.99,22.79,2.34,0.0
20200709:1910,42.55,21.86,4.45,20.34,1.17,0.0
20200709:2010,0.0,0.0,0.0,19.13,0.9,0.0
20200709:2110,0.0,0.0,0.0,18.27,0.76,0.0
20200709:2210,0.0,0.0,0.0,18.35,0.48,0.0
20200709:2310,0.0,0.0,0.0,16.88,1.1,0.0
20200710:0010,0.0,0.0,0.0,16.3,1.86,0.0
20200710:0110,0.0,0.0,0.0,16.68,2.62,0.0
20200710:0210,0.0,0.0,0.0,16.68,3.31,0.0
20200710:0310,0.0,0.0,0.0,16.27,3.93,0.0
20200710:0410,0.0,2.62,3.78,15.78,4.28,0.0
20200710:0510,98.9,37.6,12.27,15.77,4.34,0.0
20200710:0610,164.1,54.7,21.39,15.99,5.59,0.0
20200710:0710,497.6,135.36,30.8,16.27,4.97,0.0
20200710:0810,1174.6,293.59,40.14,16.41,4.62,0.0
20200710:0910,1011.35,255.93,48.87,16.77,4.9,0.0
20200710:1010,1909.45,467.7,56.15,16.53,4.9,0.0
20200710:1110,846.05,217.87,60.61,17.17,4.48,0.0
20200710:1210,3181.7,792.01,60.78,18.05,4.28,0.0
20200710:1310,1493.05,372.42,56.59,18.16,4.28,0.0
20200710:1410,2008.65,496.84,49.46,18.32,4.0,0.0
20200710:1510,1215.95,305.68,40.79,17.67,3.79,0.0
20200710:1610,1127.3,286.12,31.48,17.64,3.79,0.0
20200710:1710,739.75,205.61,22.07,17.44,3.66,0.0
20200710:1810,241.25,74.33,12.91,16.8,2.83,0.0
20200710:1910,6.15,8.74,4.37,15.74,2.62,0.0
20200710:2010,0.0,0.0,0.0,14.67,2.07,0.0
20200710:2110,0.0,0.0,0.0,13.8,1.79,0.0
20200710:2210,0.0,0.0,0.0,12.97,1.86,0.0
20200710:2310,0.0,0.0,0.0,12.06,1.72,0.0
20200711:0010,0.0,0.0,0.0,11.36,1.45,0.0
20200711:0110,0.0,0.0,0.0,10.41,1.31,0.0
20200711:0210,0.0,0.0,0.0,10.04,1.17,0.0
20200711:0310,0.0,0.0,0.0,9.66,1.1,0.0
20200711:0410,25.75,15.74,3.66,9.32,1.1,0.0
20200711:0510,180.5,57.71,12.15,10.23,0.76,0.0
20200711:0610,703.65,209.31,21.28,12.18,0.62,0.0
20200711:0710,1673.65,424.38,30.69,14.11,0.9,0.0
20200711:0810,2275.85,564.85,40.02,15.13,1.38,0.0
20200711:0910,2701.65,674.91,48.75,16.3,1.86,0.0
20200711:1010,3288.25,834.39,56.02,17.2,2.14,0.0
20200711:1110,2863.75,721.78,60.48,17.75,2.34,0.0
20200711:1210,3151.45,797.44,60.66,18.22,2.69,0.0
20200711:1310,2596.95,649.6,56.49,18.5,2.97,0.0
20200711:1410,767.45,201.18,49.37,18.46,2.9,0.0
20200711:1510,780.75,204.27,40.72,18.47,2.97,0.0
20200711:1610,1611.85,406.91,31.41,17.59,3.03,0.0
20200711:1710,725.05,199.78,21.99,17.06,2.83,0.0
20200711:1810,164.7,55.09,12.84,16.73,2.48,0.0
20200711:1910,40.85,20.99,4.28,16.13,1.86,0.0
20200711:2010,0.0,0.0,0.0,15.32,1.66,0.0
20200711:2110,0.0,0.0,0.0,14.32,1.72,0.0
20200711:2210,0.0,0.0,0.0,13.53,1.79,0.0
20200711:2310,0.0,0.0,0.0,12.59,1.72,0.0
20200712:0010,0.0,0.0,0.0,11.64,1.66,0.0
20200712:0110,0.0,0.0,0.0,10.75,1.72,0.0
20200712:0210,0.0,0.0,0.0,10.12,1.72,0.0
20200712:0310,0.0,0.0,0.0,9.77,1.59,0.0
20200712:0410,0.0,4.37,3.53,9.05,1.52,0.0
20200712:0510,241.65,72.58,12.03,10.08,1.03,0.0
20200712:0610,710.2,199.37,21.15,12.52,1.17,0.0
20200712:0710,1640.45,413.83,30.57,14.2,1.45,0.0
20200712:0810,2422.75,600.46,39.9,15.78,1.93,0.0
20200712:0910,2046.5,509.66,48.62,16.93,1.93,0.0
20200712:1010,2893.45,733.5,55.89,17.89,1.86,0.0
20200712:1110,2949.15,751.99,60.34,18.28,1.79,0.0
20200712:1210,3138.45,808.02,60.53,19.02,1.72,0.0
20200712:1310,2919.6,745.88,56.38,19.42,1.93,0.0
20200712:1410,3240.65,830.6,49.28,19.88,2.07,0.0
20200712:1510,2439.1,615.74,40.63,19.79,2.07,0.0
20200712:1610,1550.65,397.56,31.33,19.72,2.07,0.0
20200712:1710,729.25,205.32,21.91,19.57,2.14,0.0
20200712:1810,224.45,70.83,12.75,18.93,1.86,0.0
20200712:1910,37.65,20.11,4.19,17.86,2.28,0.0
20200712:2010,0.0,0.0,0.0,16.52,2.41,0.0
20200712:2110,0.0,0.0,0.0,15.48,2.34,0.0
20200712:2210,0.0,0.0,0.0,14.63,2.34,0.0
20200712:2310,0.0,0.0,0.0,13.85,2.28,0.0
20200713:0010,0.0,0.0,0.0,13.13,2.21,0.0
20200713:0110,0.0,0.0,0.0,12.52,2.07,0.0
20200713:0210,0.0,0.0,0.0,11.91,2.0,0.0
20200713:0310,0.0,0.0,0.0,11.25,1.86,0.0
20200713:0410,17.9,13.12,3.4,10.5,1.66,0.0
20200713:0510,201.2,62.96,11.9,10.91,1.17,0.0
20200713:0610,695.05,206.6,21.03,13.74,0.97,0.0
20200713:0710,1615.4,413.88,30.44,15.84,0.62,0.0
20200713:0810,2477.2,628.81,39.77,17.58,0.76,0.0
20200713:0910,3132.45,809.97,48.49,19.37,1.17,0.0
20200713:1010,3618.0,955.01,55.75,20.67,1.45,0.0
20200713:1110,3759.5,1014.54,60.2,21.72,1.1,0.0
20200713:1210,3603.15,979.34,60.39,22.38,0.76,0.0
20200713:1310,3414.0,916.76,56.26,22.9,0.97,0.0
20200713:1410,2830.95,740.15,49.18,23.11,1.31,0.0
20200713:1510,1796.45,461.52,40.55,23.13,1.72,0.0
20200713:1610,1619.8,422.16,31.25,22.87,2.07,0.0
20200713:1710,742.85,222.98,21.83,22.44,2.34,0.0
20200713:1810,177.2,59.46,12.66,21.64,2.0,0.0
20200713:1910,37.1,20.11,4.09,20.36,2.14,0.0
20200713:2010,0.0,0.0,0.0,18.75,2.14,0.0
20200713:2110,0.0,0.0,0.0,17.36,1.93,0.0
20200713:2210,0.0,0.0,0.0,15.72,1.52,0.0
20200713:2310,0.0,0.0,0.0,17.02,0.69,0.0
20200714:0010,0.0,0.0,0.0,16.63,0.34,0.0
20200714:0110,0.0,0.0,0.0,13.41,1.38,0.0
20200714:0210,0.0,0.0,0.0,12.44,1.79,0.0
20200714:0310,0.0,0.0,0.0,11.92,1.86,0.0
20200714:0410,0.85,6.12,3.27,11.52,1.72,0.0
20200714:0510,110.3,40.23,11.77,12.58,1.59,0.0
20200714:0610,586.8,161.41,20.9,15.32,1.66,0.0
20200714:0710,745.95,195.38,30.32,16.78,1.86,0.0
20200714:0810,1210.25,306.88,39.64,18.28,2.21,0.0
20200714:0910,1520.35,384.38,48.35,19.61,2.21,0.0
20200714:1010,1237.05,316.85,55.61,20.59,2.48,0.0
20200714:1110,1193.9,306.1,60.05,20.74,2.97,0.0
20200714:1210,1956.8,492.07,60.25,20.28,3.17,0.0
20200714:1310,1434.15,363.01,56.14,20.05,3.1,0.0
20200714:1410,1117.55,285.44,49.08,19.22,2.9,0.0
20200714:1510,489.45,135.36,40.45,19.05,2.97,0.0
20200714:1610,486.5,134.43,31.16,18.61,2.83,0.0
20200714:1710,552.4,152.16,21.74,18.0,2.62,0.0
20200714:1810,51.9,24.48,12.57,17.46,2.28,0.0
20200714:1910,0.0,2.62,3.99,16.01,1.79,0.0
20200714:2010,0.0,0.0,0.0,15.59,1.93,0.0
20200714:2110,0.0,0.0,0.0,15.13,2.07,0.0
20200714:2210,0.0,0.0,0.0,14.84,2.0,0.0
20200714:2310,0.0,0.0,0.0,14.45,1.86,0.0
20200715:0010,0.0,0.0,0.0,14.07,1.72,0.0
20200715:0110,0.0,0.0,0.0,13.62,1.66,0.0
20200715:0210,0.0,0.0,0.0,13.22,1.59,0.0
20200715:0310,0.0,0.0,0.0,12.56,1.59,0.0
20200715:0410,0.0,3.5,3.13,12.36,1.38,0.0
20200715:0510,150.95,50.72,11.64,12.32,1.1,0.0
20200715:0610,674.4,202.94,20.77,13.09,1.17,0.0
20200715:0710,1643.55,414.55,30.19,13.97,1.59,0.0
20200715:0810,2509.4,618.67,39.51,15.03,2.07,0.0
20200715:0910,2961.75,736.75,48.21,15.82,2.28,0.0
20200715:1010,2429.0,604.02,55.46,16.91,2.48,0.0
20200715:1110,2780.0,697.0,59.89,17.69,2.62,0.0
20200715:1210,2490.55,622.63,60.1,17.71,2.55,0.0
20200715:1310,1715.1,429.86,56.01,18.25,2.34,0.0
20200715:1410,2492.7,626.96,48.96,18.85,2.14,0.0
20200715:1510,1656.75,417.38,40.35,19.55,2.21,0.0
20200715:1610,1025.95,264.73,31.06,19.22,2.48,0.0
20200715:1710,56.45,25.96,21.64,18.74,2.41,0.0
20200715:1810,37.55,20.11,12.47,18.24,1.86,0.0
20200715:1910,0.0,5.25,3.88,17.19,1.86,0.0
20200715:2010,0.0,0.0,0.0,16.77,1.72,0.0
20200715:2110,0.0,0.0,0.0,16.4,1.59,0.0
20200715:2210,0.0,0.0,0.0,16.05,1.52,0.0
20200715:2310,0.0,0.0,0.0,15.68,1.59,0.0
20200716:0010,0.0,0.0,0.0,15.41,1.72,0.0
20200716:0110,0.0,0.0,0.0,15.18,1.79,0.0
20200716:0210,0.0,0.0,0.0,15.01,1.79,0.0
20200716:0310,0.0,0.0,0.0,14.89,1.79,0.0
20200716:0410,2.45,7.0,2.98,14.8,1.93,0.0
20200716:0510,44.0,21.86,11.5,14.74,2.14,0.0
20200716:0610,132.3,46.36,20.64,14.86,2.21,0.0
20200716:0710,467.6,127.94,30.05,14.91,2.55,0.0
20200716:0810,570.35,152.05,39.37,14.87,2.62,0.0
20200716:0910,662.6,173.37,48.07,14.6,2.83,0.0
20200716:1010,824.6,211.38,55.3,14.77,2.76,0.0
20200716:1110,803.45,206.74,59.73,14.99,2.55,0.0
20200716:1210,915.95,233.63,59.95,15.55,2.69,0.0
20200716:1310,1951.3,482.26,55.88,16.24,2.69,0.0
20200716:1410,358.35,102.91,48.85,17.02,2.83,0.0
20200716:1510,646.3,171.51,40.25,17.19,2.69,0.0
20200716:1610,412.0,115.89,30.96,17.19,2.62,0.0
20200716:1710,513.4,141.89,21.54,17.37,2.62,0.0
20200716:1810,60.85,27.11,12.36,17.16,2.34,0.0
20200716:1910,0.0,5.25,3.77,15.73,2.55,0.0
20200716:2010,0.0,0.0,0.0,15.38,2.34,0.0
20200716:2110,0.0,0.0,0.0,15.16,2.07,0.0
20200716:2210,0.0,0.0,0.0,14.78,1.93,0.0
20200716:2310,0.0,0.0,0.0,14.27,1.86,0.0
20200717:0010,0.0,0.0,0.0,13.83,1.79,0.0
20200717:0110,0.0,0.0,0.0,13.21,1.72,0.0
20200717:0210,0.0,0.0,0.0,12.74,1.72,0.0
20200717:0310,0.0,0.0,0.0,12.45,1.66,0.0
20200717:0410,0.0,1.75,2.83,12.21,1.52,0.0
20200717:0510,90.5,34.98,11.36,12.86,1.17,0.0
20200717:0610,471.8,130.32,20.5,14.06,1.24,0.0
20200717:0710,926.0,237.97,29.92,15.69,1.38,0.0
20200717:0810,1243.65,313.71,39.23,16.39,1.24,0.0
20200717:0910,1127.3,286.67,47.92,16.65,1.1,0.0
20200717:1010,673.65,178.93,55.14,17.43,1.1,0.0
20200717:1110,610.8,164.1,59.56,17.9,1.45,0.0
20200717:1210,934.85,241.97,59.79,18.42,1.72,0.0
20200717:1310,917.8,238.27,55.74,18.96,1.93,0.0
20200717:1410,937.3,243.7,48.72,19.79,2.0,0.0
20200717:1510,977.4,253.63,40.14,19.96,1.72,0.0
20200717:1610,963.5,251.95,30.86,20.13,1.17,0.0
20200717:1710,476.9,134.9,21.43,20.08,0.41,0.0
20200717:1810,178.35,59.46,12.25,20.01,0.34,0.0
20200717:1910,0.65,6.12,3.65,18.63,0.21,0.0
20200717:2010,0.0,0.0,0.0,17.79,0.97,0.0
20200717:2110,0.0,0.0,0.0,16.72,1.31,0.0
20200717:2210,0.0,0.0,0.0,15.59,1.59,0.0
20200717:2310,0.0,0.0,0.0,14.97,1.59,0.0
20200718:0010,0.0,0.0,0.0,14.28,1.66,0.0
20200718:0110,0.0,0.0,0.0,13.73,1.59,0.0
20200718:0210,0.0,0.0,0.0,13.17,1.66,0.0
20200718:0310,0.0,0.0,0.0,12.67,1.72,0.0
20200718:0410,0.0,5.25,2.68,12.59,1.66,0.0
20200718:0510,199.05,62.96,11.21,13.1,1.31,0.0
20200718:0610,644.75,194.09,20.36,15.86,1.03,0.0
20200718:0710,1522.6,394.04,29.78,18.66,1.1,0.0
20200718:0810,2273.6,580.88,39.09,20.33,1.03,0.0
20200718:0910,2810.3,734.77,47.77,21.7,0.76,0.0
20200718:1010,2776.85,737.43,54.98,22.79,0.41,0.0
20200718:1110,3265.65,890.31,59.39,23.54,0.34,0.0
20200718:1210,3185.25,860.12,59.62,23.98,0.69,0.0
20200718:1310,3225.45,865.78,55.59,24.45,1.03,0.0
20200718:1410,2791.25,735.82,48.6,24.6,1.17,0.0
20200718:1510,1970.4,511.71,40.02,24.57,1.24,0.0
20200718:1610,1213.85,321.13,30.74,24.73,1.31,0.0
20200718:1710,533.75,152.66,21.32,24.55,1.24,0.0
20200718:1810,171.75,58.59,12.13,23.75,0.97,0.0
20200718:1910,11.95,11.37,3.52,22.77,1.31,0.0
20200718:2010,0.0,0.0,0.0,21.06,1.38,0.0
20200718:2110,0.0,0.0,0.0,19.86,1.38,0.0
20200718:2210,0.0,0.0,0.0,18.68,1.31,0.0
20200718:2310,0.0,0.0,0.0,17.52,1.31,0.0
20200719:0010,0.0,0.0,0.0,16.48,1.38,0.0
20200719:0110,0.0,0.0,0.0,15.59,1.38,0.0
20200719:0210,0.0,0.0,0.0,15.3,1.17,0.0
20200719:0310,0.0,0.0,0.0,14.71,1.1,0.0
20200719:0410,4.3,7.87,2.53,14.08,1.03,0.0
20200719:0510,204.4,64.71,11.07,14.59,0.83,0.0
20200719:0610,648.9,199.01,20.21,16.64,0.76,0.0
20200719:0710,1483.1,383.53,29.63,18.94,1.17,0.0
20200719:0810,2363.35,600.24,38.94,20.29,1.66,0.0
20200719:0910,2577.75,657.5,47.62,21.45,2.14,0.0
20200719:1010,3177.5,823.54,54.81,22.28,2.34,0.0
20200719:1110,3597.9,945.36,59.21,23.22,2.62,0.0
20200719:1210,3570.65,935.56,59.45,24.07,3.1,0.0
20200719:1310,2888.0,744.75,55.43,24.7,3.45,0.0
20200719:1410,2955.6,759.97,48.46,24.87,3.59,0.0
20200719:1510,1776.15,454.29,39.89,24.72,3.59,0.0
20200719:1610,1656.9,431.53,30.62,24.38,3.59,0.0
20200719:1710,723.9,223.21,21.2,23.61,3.38,0.0
20200719:1810,200.2,65.58,12.0,22.5,2.97,0.0
20200719:1910,23.9,15.74,3.39,21.22,2.9,0.0
20200719:2010,0.0,0.0,0.0,19.48,2.9,0.0
20200719:2110,0.0,0.0,0.0,18.2,2.55,0.0
20200719:2210,0.0,0.0,0.0,17.39,2.28,0.0
20200719:2310,0.0,0.0,0.0,16.73,2.14,0.0
20200720:0010,0.0,0.0,0.0,16.15,2.21,0.0
20200720:0110,0.0,0.0,0.0,15.61,2.21,0.0
20200720:0210,0.0,0.0,0.0,15.37,2.28,0.0
20200720:0310,0.0,0.0,0.0,15.07,2.21,0.0
20200720:0410,0.0,0.87,2.37,14.76,2.41,0.0
20200720:0510,10.45,10.49,10.91,14.5,2.28,0.0
20200720:0610,292.95,86.22,20.07,14.58,2.83,0.0
20200720:0710,1102.25,278.37,29.49,15.01,2.76,0.0
20200720:0810,1392.75,344.72,38.79,15.67,3.45,0.0
20200720:0910,2059.95,506.77,47.46,16.7,3.45,0.0
20200720:1010,2155.0,535.03,54.64,17.9,3.17,0.0
20200720:1110,2310.65,577.79,59.03,18.84,3.03,0.0
20200720:1210,2427.85,611.14,59.27,19.9,2.97,0.0
20200720:1310,2926.35,742.51,55.27,20.48,2.97,0.0
20200720:1410,2892.8,733.38,48.32,20.89,2.9,0.0
20200720:1510,2345.3,590.48,39.76,21.04,2.97,0.0
20200720:1610,1377.05,353.36,30.5,20.87,3.1,0.0
20200720:1710,678.15,190.12,21.07,20.39,3.17,0.0
20200720:1810,165.8,55.97,11.87,19.5,3.17,0.0
20200720:1910,19.4,13.99,3.25,18.19,3.17,0.0
20200720:2010,0.0,0.0,0.0,16.84,2.97,0.0
20200720:2110,0.0,0.0,0.0,15.72,2.76,0.0
20200720:2210,0.0,0.0,0.0,14.77,2.48,0.0
20200720:2310,0.0,0.0,0.0,13.87,2.07,0.0
20200721:0010,0.0,0.0,0.0,13.07,1.86,0.0
20200721:0110,0.0,0.0,0.0,12.21,1.72,0.0
20200721:0210,0.0,0.0,0.0,11.25,1.66,0.0
20200721:0310,0.0,0.0,0.0,10.4,1.72,0.0
20200721:0410,0.0,0.0,0.0,9.8,1.72,0.0
20200721:0510,166.65,54.22,10.76,10.15,1.45,0.0
20200721:0610,654.0,198.85,19.92,12.57,1.59,0.0
20200721:0710,1620.65,408.13,29.34,14.18,2.0,0.0
20200721:0810,2265.15,558.94,38.64,15.53,2.14,0.0
20200721:0910,2977.3,743.61,47.3,16.78,2.41,0.0
20200721:1010,3412.1,865.72,54.46,17.95,2.62,0.0
20200721:1110,3671.45,945.65,58.84,18.95,2.55,0.0
20200721:1210,3782.25,982.17,59.09,19.69,2.48,0.0
20200721:1310,3603.1,930.14,55.11,20.31,2.62,0.0
20200721:1410,3145.9,800.26,48.17,20.51,2.76,0.0
20200721:1510,2536.0,638.64,39.63,20.68,2.83,0.0
20200721:1610,1650.9,423.82,30.37,20.61,2.76,0.0
20200721:1710,726.55,210.91,20.94,20.21,2.69,0.0
20200721:1810,145.7,50.72,11.74,19.4,2.76,0.0
20200721:1910,17.0,13.12,3.1,18.03,3.31,0.0
20200721:2010,0.0,0.0,0.0,16.54,3.03,0.0
20200721:2110,0.0,0.0,0.0,15.41,2.76,0.0
20200721:2210,0.0,0.0,0.0,14.41,2.41,0.0
20200721:2310,0.0,0.0,0.0,13.54,1.86,0.0
20200722:0010,0.0,0.0,0.0,12.73,1.59,0.0
20200722:0110,0.0,0.0,0.0,11.61,1.52,0.0
20200722:0210,0.0,0.0,0.0,10.63,1.59,0.0
20200722:0310,0.0,0.0,0.0,9.86,1.59,0.0
20200722:0410,0.0,0.0,0.0,9.29,1.59,0.0
20200722:0510,188.15,59.46,10.6,9.75,1.31,0.0
20200722:0610,638.4,194.42,19.76,12.4,1.45,0.0
20200722:0710,1605.25,405.48,29.19,14.21,1.72,0.0
20200722:0810,2198.8,543.71,38.48,15.73,1.93,0.0
20200722:0910,2526.35,632.24,47.13,17.14,1.79,0.0
20200722:1010,3097.7,794.13,54.28,18.13,1.45,0.0
20200722:1110,3411.65,888.85,58.65,18.8,1.38,0.0
20200722:1210,3690.15,967.58,58.89,19.35,1.66,0.0
20200722:1310,3549.15,923.9,54.93,20.0,1.86,0.0
20200722:1410,3014.6,770.63,48.02,20.55,2.14,0.0
20200722:1510,2547.85,644.02,39.49,20.65,2.34,0.0
20200722:1610,1711.3,440.65,30.23,20.65,2.55,0.0
20200722:1710,718.0,215.46,20.8,20.25,2.69,0.0
20200722:1810,179.1,59.46,11.59,19.7,2.48,0.0
20200722:1910,0.65,6.12,2.95,18.58,2.07,0.0
20200722:2010,0.0,0.0,0.0,17.15,2.14,0.0
20200722:2110,0.0,0.0,0.0,15.96,2.21,0.0
20200722:2210,0.0,0.0,0.0,15.08,2.07,0.0
20200722:2310,0.0,0.0,0.0,14.18,2.0,0.0
20200723:0010,0.0,0.0,0.0,13.26,1.72,0.0
20200723:0110,0.0,0.0,0.0,12.1,1.52,0.0
20200723:0210,0.0,0.0,0.0,11.32,1.52,0.0
20200723:0310,0.0,0.0,0.0,10.55,1.72,0.0
20200723:0410,0.0,0.0,0.0,10.17,1.59,0.0
20200723:0510,158.75,52.47,10.44,11.17,1.1,0.0
20200723:0610,623.65,191.4,19.61,13.84,0.55,0.0
20200723:0710,1553.05,399.69,29.03,16.54,0.76,0.0
20200723:0810,2431.95,618.76,38.32,18.34,0.76,0.0
20200723:0910,3059.25,798.92,46.96,19.73,0.62,0.0
20200723:1010,3502.25,940.09,54.1,21.02,0.62,0.0
20200723:1110,3638.2,989.76,58.45,22.15,0.69,0.0
20200723:1210,3718.25,1012.83,58.7,23.1,0.97,0.0
20200723:1310,3512.85,941.33,54.75,23.77,1.38,0.0
20200723:1410,2861.35,749.7,47.86,24.18,1.52,0.0
20200723:1510,2126.3,550.15,39.34,24.4,1.59,0.0
20200723:1610,1468.2,386.18,30.09,24.35,1.72,0.0
20200723:1710,647.65,187.51,20.66,24.07,1.72,0.0
20200723:1810,198.85,65.58,11.45,23.46,1.31,0.0
20200723:1910,5.8,8.74,2.79,22.07,1.03,0.0
20200723:2010,0.0,0.0,0.0,21.38,0.76,0.0
20200723:2110,0.0,0.0,0.0,20.1,1.03,0.0
