time,P,G(i),H_sun,T2m,WS10m,Int
20200106:1510,640.35,164.95,3.57,7.25,3.38,0.0
20200106:1610,0.0,0.0,0.0,6.27,3.72,0.0
20200106:1710,0.0,0.0,0.0,5.65,4.21,0.0
20200106:1810,0.0,0.0,0.0,5.2,4.62,0.0
20200106:1910,0.0,0.0,0.0,4.74,4.76,0.0
20200106:2010,0.0,0.0,0.0,4.48,4.62,0.0
20200106:2110,0.0,0.0,0.0,4.25,4.62,0.0
20200106:2210,0.0,0.0,0.0,4.15,4.41,0.0
20200106:2310,0.0,0.0,0.0,4.35,4.07,0.0
20200107:0010,0.0,0.0,0.0,4.89,4.0,0.0
20200107:0110,0.0,0.0,0.0,5.41,4.21,0.0
20200107:0210,0.0,0.0,0.0,6.08,4.14,0.0
20200107:0310,0.0,0.0,0.0,6.69,3.86,0.0
20200107:0410,0.0,0.0,0.0,6.86,3.66,0.0
20200107:0510,0.0,0.0,0.0,6.76,3.59,0.0
20200107:0610,0.0,0.0,0.0,6.42,3.31,0.0
20200107:0710,0.0,0.0,0.0,5.75,2.83,0.0
20200107:0810,0.0,1.75,3.01,5.57,2.76,0.0
20200107:0910,113.0,39.87,9.29,5.73,2.76,0.0
20200107:1010,218.0,65.82,13.84,6.62,3.03,0.0
20200107:1110,141.35,47.28,16.29,7.44,4.41,0.0
20200107:1210,236.1,70.46,16.41,8.08,4.69,0.0
20200107:1310,1055.25,252.86,14.19,8.55,4.76,0.0
20200107:1410,1254.85,298.06,9.84,8.4,4.07,0.0
20200107:1510,614.8,159.48,3.72,8.05,3.59,0.0
20200107:1610,0.0,0.0,0.0,7.11,3.79,0.0
20200107:1710,0.0,0.0,0.0,6.42,4.28,0.0
20200107:1810,0.0,0.0,0.0,6.15,4.62,0.0
20200107:1910,0.0,0.0,0.0,5.65,4.55,0.0
20200107:2010,0.0,0.0,0.0,5.62,4.83,0.0
20200107:2110,0.0,0.0,0.0,5.88,5.17,0.0
20200107:2210,0.0,0.0,0.0,6.27,5.31,0.0
20200107:2310,0.0,0.0,0.0,6.71,5.24,0.0
20200108:0010,0.0,0.0,0.0,7.19,5.31,0.0
20200108:0110,0.0,0.0,0.0,7.82,5.38,0.0
20200108:0210,0.0,0.0,0.0,8.51,5.24,0.0
20200108:0310,0.0,0.0,0.0,9.11,5.17,0.0
20200108:0410,0.0,0.0,0.0,9.49,5.03,0.0
20200108:0510,0.0,0.0,0.0,9.73,4.9,0.0
20200108:0610,0.0,0.0,0.0,9.96,4.76,0.0
20200108:0710,0.0,0.0,0.0,9.39,4.76,0.0
20200108:0810,10.85,10.49,3.08,9.69,4.62,0.0
20200108:0910,43.45,21.32,9.38,10.1,4.62,0.0
20200108:1010,532.15,138.78,13.94,10.42,4.48,0.0
20200108:1110,365.75,101.56,16.41,10.75,4.48,0.0
20200108:1210,40.2,20.4,16.55,10.97,4.48,0.0
20200108:1310,31.25,17.62,14.34,11.08,4.28,0.0
20200108:1410,12.4,11.13,10.0,11.15,4.07,0.0
20200108:1510,0.0,5.56,3.88,11.09,3.79,0.0
20200108:1610,0.0,0.0,0.0,10.97,3.45,0.0
20200108:1710,0.0,0.0,0.0,10.89,3.1,0.0
20200108:1810,0.0,0.0,0.0,10.77,2.83,0.0
20200108:1910,0.0,0.0,0.0,10.52,2.48,0.0
20200108:2010,0.0,0.0,0.0,10.42,2.41,0.0
20200108:2110,0.0,0.0,0.0,10.32,2.48,0.0
20200108:2210,0.0,0.0,0.0,10.26,2.55,0.0
20200108:2310,0.0,0.0,0.0,10.22,2.9,0.0
20200109:0010,0.0,0.0,0.0,10.2,3.31,0.0
20200109:0110,0.0,0.0,0.0,10.2,3.79,0.0
20200109:0210,0.0,0.0,0.0,10.19,4.28,0.0
20200109:0310,0.0,0.0,0.0,10.29,4.83,0.0
20200109:0410,0.0,0.0,0.0,10.48,5.17,0.0
20200109:0510,0.0,0.0,0.0,10.63,5.31,0.0
20200109:0610,0.0,0.0,0.0,10.75,5.52,0.0
20200109:0710,0.0,0.0,0.0,11.0,5.86,0.0
20200109:0810,13.05,11.37,3.15,11.1,6.07,0.0
20200109:0910,10.0,10.2,9.46,11.24,6.14,0.0
20200109:1010,168.0,54.7,14.05,11.45,6.28,0.0
20200109:1110,171.6,55.63,16.54,11.64,6.34,0.0
20200109:1210,186.5,59.33,16.7,11.69,6.41,0.0
20200109:1310,179.0,57.48,14.5,11.67,6.21,0.0
20200109:1410,14.85,12.05,10.16,11.57,5.93,0.0
20200109:1510,115.95,41.72,4.05,11.5,5.66,0.0
20200109:1610,0.0,0.0,0.0,11.37,5.45,0.0
20200109:1710,0.0,0.0,0.0,11.23,5.38,0.0
20200109:1810,0.0,0.0,0.0,11.1,5.38,0.0
20200109:1910,0.0,0.0,0.0,11.14,5.24,0.0
20200109:2010,0.0,0.0,0.0,10.93,5.24,0.0
20200109:2110,0.0,0.0,0.0,10.77,5.31,0.0
20200109:2210,0.0,0.0,0.0,10.58,5.17,0.0
20200109:2310,0.0,0.0,0.0,10.47,5.31,0.0
20200110:0010,0.0,0.0,0.0,10.35,5.24,0.0
20200110:0110,0.0,0.0,0.0,9.94,4.97,0.0
20200110:0210,0.0,0.0,0.0,9.35,4.69,0.0
20200110:0310,0.0,0.0,0.0,8.71,4.07,0.0
20200110:0410,0.0,0.0,0.0,7.98,3.93,0.0
20200110:0510,0.0,0.0,0.0,7.86,3.52,0.0
20200110:0610,0.0,0.0,0.0,8.27,3.59,0.0
20200110:0710,0.0,0.0,0.0,8.07,3.1,0.0
20200110:0810,25.95,15.74,3.23,7.98,3.03,0.0
20200110:0910,368.3,100.68,9.56,7.9,3.31,0.0
20200110:1010,470.25,123.78,14.17,7.78,3.45,0.0
20200110:1110,115.4,40.79,16.68,7.86,3.66,0.0
20200110:1210,568.6,146.1,16.85,8.03,3.52,0.0
20200110:1310,94.0,35.23,14.66,8.02,3.79,0.0
20200110:1410,50.25,23.18,10.33,8.02,4.0,0.0
20200110:1510,57.6,25.33,4.22,7.66,3.86,0.0
20200110:1610,0.0,0.0,0.0,6.95,3.03,0.0
20200110:1710,0.0,0.0,0.0,6.48,2.62,0.0
20200110:1810,0.0,0.0,0.0,5.81,2.07,0.0
20200110:1910,0.0,0.0,0.0,5.33,2.07,0.0
20200110:2010,0.0,0.0,0.0,4.93,1.86,0.0
20200110:2110,0.0,0.0,0.0,4.54,1.66,0.0
20200110:2210,0.0,0.0,0.0,4.39,1.66,0.0
20200110:2310,0.0,0.0,0.0,4.46,2.0,0.0
20200111:0010,0.0,0.0,0.0,4.31,2.07,0.0
20200111:0110,0.0,0.0,0.0,4.08,2.21,0.0
20200111:0210,0.0,0.0,0.0,3.85,2.28,0.0
20200111:0310,0.0,0.0,0.0,3.61,2.28,0.0
20200111:0410,0.0,0.0,0.0,3.3,2.41,0.0
20200111:0510,0.0,0.0,0.0,3.15,2.48,0.0
20200111:0610,0.0,0.0,0.0,3.27,2.55,0.0
20200111:0710,0.0,0.0,0.0,2.67,2.97,0.0
20200111:0810,18.85,13.12,3.31,2.59,3.24,0.0
20200111:0910,121.85,41.72,9.67,3.33,3.66,0.0
20200111:1010,228.45,67.68,14.29,4.4,4.21,0.0
20200111:1110,556.65,141.77,16.82,5.29,4.0,0.0
20200111:1210,1751.8,403.44,17.01,6.11,4.9,0.0
20200111:1310,1722.25,397.26,14.83,6.51,5.1,0.0
20200111:1410,1118.9,265.17,10.51,6.63,4.83,0.0
20200111:1510,121.4,42.26,4.4,6.29,4.48,0.0
20200111:1610,0.0,0.0,0.0,5.71,4.41,0.0
20200111:1710,0.0,0.0,0.0,5.42,4.62,0.0
20200111:1810,0.0,0.0,0.0,5.18,4.76,0.0
20200111:1910,0.0,0.0,0.0,4.64,4.83,0.0
20200111:2010,0.0,0.0,0.0,4.42,4.83,0.0
20200111:2110,0.0,0.0,0.0,4.15,4.83,0.0
20200111:2210,0.0,0.0,0.0,3.9,4.83,0.0
20200111:2310,0.0,0.0,0.0,3.66,4.9,0.0
20200112:0010,0.0,0.0,0.0,3.45,4.9,0.0
20200112:0110,0.0,0.0,0.0,3.25,4.9,0.0
20200112:0210,0.0,0.0,0.0,3.09,4.9,0.0
20200112:0310,0.0,0.0,0.0,3.02,4.9,0.0
20200112:0410,0.0,0.0,0.0,2.99,5.03,0.0
20200112:0510,0.0,0.0,0.0,3.05,5.1,0.0
20200112:0610,0.0,0.0,0.0,3.1,5.17,0.0
20200112:0710,0.0,0.0,0.0,3.49,5.52,0.0
20200112:0810,23.95,14.87,3.41,3.75,5.72,0.0
20200112:0910,1019.8,240.8,9.78,4.3,5.93,0.0
20200112:1010,507.6,130.63,14.42,5.4,5.17,0.0
20200112:1110,250.3,73.24,16.97,6.16,5.72,0.0
20200112:1210,157.05,50.99,17.17,6.6,6.21,0.0
20200112:1310,101.65,37.08,15.01,7.03,6.62,0.0
20200112:1410,137.7,46.36,10.69,7.52,6.41,0.0
20200112:1510,89.55,34.14,4.58,7.92,6.14,0.0
20200112:1610,0.0,0.0,0.0,8.04,5.79,0.0
20200112:1710,0.0,0.0,0.0,8.25,5.59,0.0
20200112:1810,0.0,0.0,0.0,8.19,5.24,0.0
20200112:1910,0.0,0.0,0.0,7.65,4.9,0.0
20200112:2010,0.0,0.0,0.0,7.45,4.62,0.0
20200112:2110,0.0,0.0,0.0,7.06,4.28,0.0
20200112:2210,0.0,0.0,0.0,6.93,4.07,0.0
20200112:2310,0.0,0.0,0.0,6.59,3.93,0.0
20200113:0010,0.0,0.0,0.0,6.52,3.79,0.0
20200113:0110,0.0,0.0,0.0,6.39,3.72,0.0
20200113:0210,0.0,0.0,0.0,6.27,3.52,0.0
20200113:0310,0.0,0.0,0.0,6.2,3.45,0.0
20200113:0410,0.0,0.0,0.0,6.1,3.45,0.0
20200113:0510,0.0,0.0,0.0,6.13,3.45,0.0
20200113:0610,0.0,0.0,0.0,6.15,3.38,0.0
20200113:0710,0.0,0.0,0.0,6.32,3.31,0.0
20200113:0810,20.95,13.99,3.5,6.38,3.17,0.0
20200113:0910,262.8,76.14,9.89,6.7,3.31,0.0
20200113:1010,167.65,53.77,14.56,7.28,4.14,0.0
20200113:1110,256.1,75.1,17.13,7.66,4.28,0.0
20200113:1210,2162.6,501.61,17.34,8.1,4.41,0.0
20200113:1310,1870.45,435.23,15.19,8.07,4.07,0.0
20200113:1410,791.1,194.7,10.88,8.0,4.14,0.0
20200113:1510,68.85,28.46,4.77,7.8,4.14,0.0
20200113:1610,0.0,0.0,0.0,7.77,4.9,0.0
20200113:1710,0.0,0.0,0.0,7.97,5.52,0.0
20200113:1810,0.0,0.0,0.0,8.19,5.59,0.0
20200113:1910,0.0,0.0,0.0,8.41,6.21,0.0
20200113:2010,0.0,0.0,0.0,8.98,6.48,0.0
20200113:2110,0.0,0.0,0.0,9.55,6.83,0.0
20200113:2210,0.0,0.0,0.0,9.93,7.17,0.0
20200113:2310,0.0,0.0,0.0,9.84,7.38,0.0
20200114:0010,0.0,0.0,0.0,9.6,7.45,0.0
20200114:0110,0.0,0.0,0.0,9.38,7.45,0.0
20200114:0210,0.0,0.0,0.0,9.42,7.52,0.0
20200114:0310,0.0,0.0,0.0,9.48,7.72,0.0
20200114:0410,0.0,0.0,0.0,9.39,8.14,0.0
20200114:0510,0.0,0.0,0.0,9.06,8.14,0.0
20200114:0610,0.0,0.0,0.0,9.04,8.14,0.0
20200114:0710,0.0,0.0,0.0,9.49,7.93,0.0
20200114:0810,20.55,13.99,3.61,9.51,7.93,0.0
20200114:0910,246.45,73.0,10.02,9.7,7.86,0.0
20200114:1010,267.9,78.41,14.71,10.08,7.79,0.0
20200114:1110,333.9,93.95,17.29,10.26,7.79,0.0
20200114:1210,639.35,162.57,17.52,10.41,7.93,0.0
20200114:1310,783.95,194.03,15.38,10.29,8.07,0.0
20200114:1410,473.65,125.17,11.07,10.31,8.14,0.0
20200114:1510,119.4,42.27,4.96,10.19,8.0,0.0
20200114:1610,0.0,0.0,0.0,9.87,8.34,0.0
20200114:1710,0.0,0.0,0.0,10.13,8.55,0.0
20200114:1810,0.0,0.0,0.0,10.2,8.41,0.0
20200114:1910,0.0,0.0,0.0,10.62,8.28,0.0
20200114:2010,0.0,0.0,0.0,10.58,8.14,0.0
20200114:2110,0.0,0.0,0.0,10.76,8.14,0.0
20200114:2210,0.0,0.0,0.0,10.94,8.14,0.0
20200114:2310,0.0,0.0,0.0,10.8,7.79,0.0
20200115:0010,0.0,0.0,0.0,10.65,7.45,0.0
20200115:0110,0.0,0.0,0.0,10.4,7.52,0.0
20200115:0210,0.0,0.0,0.0,10.14,7.38,0.0
20200115:0310,0.0,0.0,0.0,10.13,7.17,0.0
20200115:0410,0.0,0.0,0.0,10.32,6.97,0.0
20200115:0510,0.0,0.0,0.0,10.16,6.83,0.0
20200115:0610,0.0,0.0,0.0,9.84,6.69,0.0
20200115:0710,0.0,0.0,0.0,9.82,6.9,0.0
20200115:0810,31.15,17.49,3.72,9.61,6.97,0.0
20200115:0910,1366.05,323.04,10.15,9.84,7.1,0.0
20200115:1010,283.15,82.11,14.86,10.34,7.24,0.0
20200115:1110,2289.7,532.26,17.46,10.82,6.97,0.0
20200115:1210,1375.25,326.53,17.71,11.32,6.55,0.0
20200115:1310,186.4,59.33,15.57,11.78,6.21,0.0
20200115:1410,52.35,24.1,11.27,12.02,7.93,0.0
20200115:1510,653.35,169.16,5.16,11.91,7.66,0.0
20200115:1610,0.0,0.0,0.0,11.46,7.38,0.0
20200115:1710,0.0,0.0,0.0,11.03,6.69,0.0
20200115:1810,0.0,0.0,0.0,10.45,5.45,0.0
20200115:1910,0.0,0.0,0.0,9.68,4.76,0.0
20200115:2010,0.0,0.0,0.0,8.98,4.21,0.0
20200115:2110,0.0,0.0,0.0,8.1,3.45,0.0
20200115:2210,0.0,0.0,0.0,7.32,3.17,0.0
20200115:2310,0.0,0.0,0.0,6.61,2.97,0.0
20200116:0010,0.0,0.0,0.0,6.08,2.76,0.0
20200116:0110,0.0,0.0,0.0,5.59,2.62,0.0
20200116:0210,0.0,0.0,0.0,5.25,2.55,0.0
20200116:0310,0.0,0.0,0.0,4.88,2.48,0.0
20200116:0410,0.0,0.0,0.0,4.75,2.48,0.0
20200116:0510,0.0,0.0,0.0,4.73,2.55,0.0
20200116:0610,0.0,0.0,0.0,4.63,2.69,0.0
20200116:0710,0.0,0.0,0.0,4.12,2.69,0.0
20200116:0810,32.1,17.49,3.84,4.52,2.9,0.0
20200116:0910,1923.4,447.34,10.29,5.9,3.1,0.0
20200116:1010,2655.1,620.41,15.02,7.75,3.38,0.0
20200116:1110,2867.45,669.16,17.64,8.99,4.76,0.0
20200116:1210,2860.65,669.86,17.9,9.53,4.62,0.0
20200116:1310,2633.05,617.57,15.77,9.98,4.34,0.0
20200116:1410,2189.4,516.32,11.47,10.27,3.79,0.0
20200116:1510,1042.35,257.87,5.36,10.13,3.72,0.0
20200116:1610,0.0,0.0,0.0,9.42,3.93,0.0
20200116:1710,0.0,0.0,0.0,8.96,4.14,0.0
20200116:1810,0.0,0.0,0.0,8.84,4.48,0.0
20200116:1910,0.0,0.0,0.0,9.07,4.76,0.0
20200116:2010,0.0,0.0,0.0,9.26,4.97,0.0
20200116:2110,0.0,0.0,0.0,9.33,5.03,0.0
20200116:2210,0.0,0.0,0.0,9.39,5.24,0.0
20200116:2310,0.0,0.0,0.0,9.3,5.31,0.0
20200117:0010,0.0,0.0,0.0,8.97,5.24,0.0
